fullname,party,aliases
Mauricio Macri,Juntos por el Cambio,Macri
Cristina Fernández de Kirchner,Frente de Todos,Cristina Kirchner|Cristina Fernández|CFK
Néstor Kirchner,Partido Justicialista,Néstor
Alberto Fernández,Frente de Todos,
Horacio Antonio Rodríguez Larreta,Juntos por el Cambio,Larreta
Axel Kicillof,Frente de Todos,Kicillof
Jose Luis Espert,Avanza Libertad,Espert
María Eugenia Vidal,Juntos por el Cambio,Vidal
Patricia Bullrich,Juntos por el Cambio,Pato Bullrich
Esteban Bullrich,Juntos por el Cambio,
Javier Milei,La Libertad Avanza,Milei
Diego Santilli,Juntos por el Cambio,Santilli
Sergio Tomás Massa,Frente de Todos,Massa
Máximo Carlos Kirchner,Frente de Todos,Máximo Kirchner
Nicolás del Caño,Frente de Izquierda y de Trabajadores - Unidad,Del Caño
Victoria Tolosa Paz,Frente de Todos,Tolosa Paz
Ricardo López Murphy,Juntos por el Cambio,López Murphy|RLM
Elisa María Avelina Carrió,Juntos por el Cambio,Elisa Carrio|Lilita Carrio
Jorge Macri,Juntos por el Cambio,Jorge Macri
Leandro Jorge Santoro,Frente de Todos,Santoro
Miguel Ángel Pichetto,Juntos por el Cambio,Pichetto
Myriam Teresa Bregman,Frente de Izquierda y de Trabajadores - Unidad,Bregman
Facundo Manes,Juntos por el Cambio,Manes
Manuela Castañeira,Nuevo Movimiento al Socialismo,Castañeira
Fernanda Vallejos,Frente de Todos,Vallejos
Aníbal Fernández,Frente de Todos,
Santiago Cafiero,Frente de Todos,Cafiero
Juan Luis Manzur,Frente de Todos,Manzur
Graciela Ocaña,Juntos por el Cambio,Ocaña
Martín Tetaz,Juntos por el Cambio,Tetaz
Ramiro Marra,La Libertad Avanza,Marra
Victoria Villarruel,La Libertad Avanza,Villarruel
Cynthia Liliana Hotton,Valores Para Mi País,Hotton
Juan José Gómez Centurión,NOS,Gómez Centurión
Ofelia Fernández,Frente de Todos,Ofelia
Roberto Lavagna,Consenso Federal,Lavagna
Aníbal Florencio Randazzo,Vamos con Vos,Randazzo
Amalia Granata,Juntos por el Cambio,Granata
Carolina Losada,Juntos por el Cambio,
Luis Juez,Juntos por el Cambio,
Cinthia Fernández,UNITE,
Eduardo de Pedro,Frente de Todos,Wado de Pedro
Hugo Antonio Moyano,,
Facundo Moyano,Frente de Todos,
Pablo Moyano,,
Daniel Filmus,Frente de Todos,Filmus
Martín Guzmán,Frente de Todos,Guzmán
Jorge Capitanich,Frente de Todos,Capitanich
Sabina Frederic,Frente de Todos,Frederic
Gildo Insfrán,Frente de Todos,Insfrán
Carlos Salomón Heller,Frente de Todos,Heller
Daniel Gustavo Gollán,Frente de Todos,Gollán
Carlos Saúl Menem,Frente de Todos,Carlos Saúl|Menem
Alicia Kirchner,Frente de Todos,
Sergio Berni,Frente de Todos,Berni
Matías Sebastían Kulfas,Frente de Todos,Kulfas
Ginés González García,Frente de Todos,Ginés
Carla Vizzotti,Frente de Todos,Vizzotti
Matías Lammens,Frente de Todos,Lammens
Nicolás Trotta,Frente de Todos,Trotta
Roberto Feletti,Frente de Todos,Feletti
Gabriella Carla Cerruti,Frente de Todos,Cerruti
Fernando Adolfo Iglesias,Juntos por el Cambio,Fernando Iglesias
Victoia Donda,Frente de Todos,Donda
Mayra Mendoza,Frente de Todos,
Gladys González,Juntos por el Cambio,
Fernán González Bernaldo de Quirós,Juntos por el Cambio,Quirós
Gabriela Michetti,Juntos por el Cambio,Michetti
Milagro Sala,Partido por la Soberanía Popular,
Carolina Píparo,Avanza Libertad,Píparo
Jorge Taiana,Frente de Todos,Taiana
Julio Cobos,Juntos por el Cambio,Cobos
Agustín Oscar Rossi,Frente de Todos,Agustín Rossi
Amado Boudou,Frente de Todos,Boudou
Julio Miguel de Vido,Frente para la Victoria,De Vido
Oscar Parrilli,Frente de Todos,Parrilli
Carlos Zannini,Frente de Todos,Zannini
Daniel Osvaldo Scioli,Frente de Todos,Scioli
Eduardo Duhalde,Consenso Federal,Duhalde
Laura Alonso,PRO,
Rogelio Frigerio,Juntos por el Cambio,
Marcos Peña,Juntos por el Cambio,
Alfonso Prat-Gay,Junto por el Cambio,Prat-Gay
Nicolás Dujovne,Juntos por el Cambio,Dujovne
Luis Caputo,Juntos por el Cambio,
Adolfo Luis Rubinstein,Juntos por el Cambio,Adolfo Rubinstein
Luis Miguel Etchevehere,Juntos por el Cambio,Etchevehere
Guillermo Javier Dietrich,Juntos por el Cambio,Dietrich
Sergio Alejandro Bergman,Juntos por el Cambio,Sergio Bergman
Juan José Aranguren,Juntos por el Cambio,Aranguren
José Ignacio de Mendiguren,Frende de Todos,De Mendiguren
Fernando de la Rúa,Unión Cívica Radical,De la Rúa
Guillermo Moreno,Principios y Valores,
Mario Raúl Negri,Juntos por el Cambio,Mario Negri
Leopoldo Raúl Guido Moreau,Frente de Todos,Leopoldo Moreau
Cecilia Moreau,Frente de Todos,Cecilia Moreau
Paula Mariana Oliveto Lago,Juntos por el Cambio,Paula Oliveto
Hernán Santiago Lombardi,Juntos por el Cambio,Hernán Lombardi
Roberto García Moritán,Juntos por el Cambio,Moritán|Marido de Pampita
Matías Raúl Tombolini,Frente de Todos,Tombolini
Margarita Rosa Stolbizer,Juntos por el Cambio,Stolbizer
Martín Insaurralde,Frente de Todos,Insaurralde
Nicolás Kreplak,Frente de Todos,Kreplak
Daniel Fernando Arroyo,Frente de Todos,Daniel Arroyo